NUTS218CD,NUTS218NM,NUTS118CD,NUTS118NM,FID
UKC1,Tees Valley and Durham,UKC,North East (England),1
UKC2,Northumberland and Tyne and Wear,UKC,North East (England),2
UKD1,Cumbria,UKD,North West (England),3
UKD3,Greater Manchester,UKD,North West (England),4
UKD4,Lancashire,UKD,North West (England),5
UKD6,Cheshire,UKD,North West (England),6
UKD7,Merseyside,UKD,North West (England),7
UKE1,East Yorkshire and Northern Lincolnshire,UKE,Yorkshire and The Humber,8
UKE2,North Yorkshire,UKE,Yorkshire and The Humber,9
UKE3,South Yorkshire,UKE,Yorkshire and The Humber,10
UKE4,West Yorkshire,UKE,Yorkshire and The Humber,11
UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),12
UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),13
UKF3,Lincolnshire,UKF,East Midlands (England),14
UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),15
UKG2,Shropshire and Staffordshire,UKG,West Midlands (England),16
UKG3,West Midlands,UKG,West Midlands (England),17
UKH1,East Anglia,UKH,East of England,18
UKH2,Bedfordshire and Hertfordshire,UKH,East of England,19
UKH3,Essex,UKH,East of England,20
UKI3,Inner London - West,UKI,London,21
UKI4,Inner London - East,UKI,London,22
UKI5,Outer London - East and North East,UKI,London,23
UKI6,Outer London - South,UKI,London,24
UKI7,Outer London - West and North West,UKI,London,25
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East (England),26
UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),27
UKJ3,Hampshire and Isle of Wight,UKJ,South East (England),28
UKJ4,Kent,UKJ,South East (England),29
UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),30
UKK2,Dorset and Somerset,UKK,South West (England),31
UKK3,Cornwall and Isles of Scilly,UKK,South West (England),32
UKK4,Devon,UKK,South West (England),33
UKL1,West Wales and The Valleys,UKL,Wales,34
UKL2,East Wales,UKL,Wales,35
UKM5,North Eastern Scotland,UKM,Scotland,36
UKM6,Highlands and Islands,UKM,Scotland,37
UKM7,Eastern Scotland,UKM,Scotland,38
UKM8,West Central Scotland,UKM,Scotland,39
UKM9,Southern Scotland,UKM,Scotland,40
UKN0,Northern Ireland,UKN,Northern Ireland,41
