sic_code,year
A,1997
A,1998
A,1999
A,2000
A,2001
A,2002
A,2003
A,2004
A,2005
A,2006
A,2007
A,2008
A,2009
A,2010
A,2011
A,2012
A,2013
A,2014
A,2015
A,2016
A,2017
A,2018
A,2019
A,2020
B,1997
B,1998
B,1999
B,2000
B,2001
B,2002
B,2003
B,2004
B,2005
B,2006
B,2007
B,2008
B,2009
B,2010
B,2011
B,2012
B,2013
B,2014
B,2015
B,2016
B,2017
B,2018
B,2019
B,2020
C,1997
C,1998
C,1999
C,2000
C,2001
C,2002
C,2003
C,2004
C,2005
C,2006
C,2007
C,2008
C,2009
C,2010
C,2011
C,2012
C,2013
C,2014
C,2015
C,2016
C,2017
C,2018
C,2019
C,2020
D,1997
D,1998
D,1999
D,2000
D,2001
D,2002
D,2003
D,2004
D,2005
D,2006
D,2007
D,2008
D,2009
D,2010
D,2011
D,2012
D,2013
D,2014
D,2015
D,2016
D,2017
D,2018
D,2019
D,2020
E,1997
E,1998
E,1999
E,2000
E,2001
E,2002
E,2003
E,2004
E,2005
E,2006
E,2007
E,2008
E,2009
E,2010
E,2011
E,2012
E,2013
E,2014
E,2015
E,2016
E,2017
E,2018
E,2019
E,2020
F,1997
F,1998
F,1999
F,2000
F,2001
F,2002
F,2003
F,2004
F,2005
F,2006
F,2007
F,2008
F,2009
F,2010
F,2011
F,2012
F,2013
F,2014
F,2015
F,2016
F,2017
F,2018
F,2019
F,2020
G,1997
G,1998
G,1999
G,2000
G,2001
G,2002
G,2003
G,2004
G,2005
G,2006
G,2007
G,2008
G,2009
G,2010
G,2011
G,2012
G,2013
G,2014
G,2015
G,2016
G,2017
G,2018
G,2019
G,2020
H,1997
H,1998
H,1999
H,2000
H,2001
H,2002
H,2003
H,2004
H,2005
H,2006
H,2007
H,2008
H,2009
H,2010
H,2011
H,2012
H,2013
H,2014
H,2015
H,2016
H,2017
H,2018
H,2019
H,2020
I,1997
I,1998
I,1999
I,2000
I,2001
I,2002
I,2003
I,2004
I,2005
I,2006
I,2007
I,2008
I,2009
I,2010
I,2011
I,2012
I,2013
I,2014
I,2015
I,2016
I,2017
I,2018
I,2019
I,2020
J,1997
J,1998
J,1999
J,2000
J,2001
J,2002
J,2003
J,2004
J,2005
J,2006
J,2007
J,2008
J,2009
J,2010
J,2011
J,2012
J,2013
J,2014
J,2015
J,2016
J,2017
J,2018
J,2019
J,2020
K,1997
K,1998
K,1999
K,2000
K,2001
K,2002
K,2003
K,2004
K,2005
K,2006
K,2007
K,2008
K,2009
K,2010
K,2011
K,2012
K,2013
K,2014
K,2015
K,2016
K,2017
K,2018
K,2019
K,2020
L,1997
L,1998
L,1999
L,2000
L,2001
L,2002
L,2003
L,2004
L,2005
L,2006
L,2007
L,2008
L,2009
L,2010
L,2011
L,2012
L,2013
L,2014
L,2015
L,2016
L,2017
L,2018
L,2019
L,2020
M,1997
M,1998
M,1999
M,2000
M,2001
M,2002
M,2003
M,2004
M,2005
M,2006
M,2007
M,2008
M,2009
M,2010
M,2011
M,2012
M,2013
M,2014
M,2015
M,2016
M,2017
M,2018
M,2019
M,2020
N,1997
N,1998
N,1999
N,2000
N,2001
N,2002
N,2003
N,2004
N,2005
N,2006
N,2007
N,2008
N,2009
N,2010
N,2011
N,2012
N,2013
N,2014
N,2015
N,2016
N,2017
N,2018
N,2019
N,2020
O,1997
O,1998
O,1999
O,2000
O,2001
O,2002
O,2003
O,2004
O,2005
O,2006
O,2007
O,2008
O,2009
O,2010
O,2011
O,2012
O,2013
O,2014
O,2015
O,2016
O,2017
O,2018
O,2019
O,2020
P,1997
P,1998
P,1999
P,2000
P,2001
P,2002
P,2003
P,2004
P,2005
P,2006
P,2007
P,2008
P,2009
P,2010
P,2011
P,2012
P,2013
P,2014
P,2015
P,2016
P,2017
P,2018
P,2019
P,2020
Q,1997
Q,1998
Q,1999
Q,2000
Q,2001
Q,2002
Q,2003
Q,2004
Q,2005
Q,2006
Q,2007
Q,2008
Q,2009
Q,2010
Q,2011
Q,2012
Q,2013
Q,2014
Q,2015
Q,2016
Q,2017
Q,2018
Q,2019
Q,2020
R,1997
R,1998
R,1999
R,2000
R,2001
R,2002
R,2003
R,2004
R,2005
R,2006
R,2007
R,2008
R,2009
R,2010
R,2011
R,2012
R,2013
R,2014
R,2015
R,2016
R,2017
R,2018
R,2019
R,2020
S,1997
S,1998
S,1999
S,2000
S,2001
S,2002
S,2003
S,2004
S,2005
S,2006
S,2007
S,2008
S,2009
S,2010
S,2011
S,2012
S,2013
S,2014
S,2015
S,2016
S,2017
S,2018
S,2019
S,2020
T,1997
T,1998
T,1999
T,2000
T,2001
T,2002
T,2003
T,2004
T,2005
T,2006
T,2007
T,2008
T,2009
T,2010
T,2011
T,2012
T,2013
T,2014
T,2015
T,2016
T,2017
T,2018
T,2019
T,2020
U,1997
U,1998
U,1999
U,2000
U,2001
U,2002
U,2003
U,2004
U,2005
U,2006
U,2007
U,2008
U,2009
U,2010
U,2011
U,2012
U,2013
U,2014
U,2015
U,2016
U,2017
U,2018
U,2019
U,2020
